nombre_provincia,nombre_canton
Azuay,CUENCA
Azuay,GIRÓN
Azuay,GUALACEO
Azuay,NABÓN
Azuay,PAUTE
Azuay,PUCARA
Azuay,SAN FERNANDO
Azuay,SANTA ISABEL
Azuay,SIGSIG
Azuay,OÑA
Azuay,CHORDELEG
Azuay,EL PAN
Azuay,SEVILLA DE ORO
Azuay,GUACHAPALA
Azuay,CAMILO PONCE ENRÍQUEZ
Bolívar,GUARANDA
Bolívar,CHILLANES
Bolívar,CHIMBO
Bolívar,ECHEANDÍA
Bolívar,SAN MIGUEL
Bolívar,CALUMA
Bolívar,LAS NAVES
Cañar,AZOGUES
Cañar,BIBLIÁN
Cañar,CAÑAR
Cañar,LA TRONCAL
Cañar,EL TAMBO
Cañar,DÉLEG
Cañar,SUSCAL
Carchi,TULCÁN
Carchi,BOLÍVAR
Carchi,ESPEJO
Carchi,MIRA
Carchi,MONTÚFAR
Carchi,SAN PEDRO DE HUACA
Cotopaxi,LATACUNGA
Cotopaxi,LA MANÁ
Cotopaxi,PANGUA
Cotopaxi,PUJILI
Cotopaxi,SALCEDO
Cotopaxi,SAQUISILÍ
Cotopaxi,SIGCHOS
Chimborazo,RIOBAMBA
Chimborazo,ALAUSI
Chimborazo,COLTA
Chimborazo,CHAMBO
Chimborazo,CHUNCHI
Chimborazo,GUAMOTE
Chimborazo,GUANO
Chimborazo,PALLATANGA
Chimborazo,PENIPE
Chimborazo,CUMANDÁ
El Oro,MACHALA
El Oro,ARENILLAS
El Oro,ATAHUALPA
El Oro,BALSAS
El Oro,CHILLA
El Oro,EL GUABO
El Oro,HUAQUILLAS
El Oro,MARCABELÍ
El Oro,PASAJE
El Oro,PIÑAS
El Oro,PORTOVELO
El Oro,SANTA ROSA
El Oro,ZARUMA
El Oro,LAS LAJAS
Esmeraldas,ESMERALDAS
Esmeraldas,ELOY ALFARO
Esmeraldas,MUISNE
Esmeraldas,QUININDÉ
Esmeraldas,SAN LORENZO
Esmeraldas,ATACAMES
Esmeraldas,RIOVERDE
Esmeraldas,LA CONCORDIA
Guayas,GUAYAQUIL
Guayas,ALFREDO BAQUERIZO MORENO (JUJÁN)
Guayas,BALAO
Guayas,BALZAR
Guayas,COLIMES
Guayas,DAULE
Guayas,DURÁN
Guayas,EL EMPALME
Guayas,EL TRIUNFO
Guayas,MILAGRO
Guayas,NARANJAL
Guayas,NARANJITO
Guayas,PALESTINA
Guayas,PEDRO CARBO
Guayas,SAMBORONDÓN
Guayas,SANTA LUCÍA
Guayas,SALITRE (URBINA JADO)
Guayas,SAN JACINTO DE YAGUACHI
Guayas,PLAYAS
Guayas,SIMÓN BOLÍVAR
Guayas,CORONEL MARCELINO MARIDUEÑA
Guayas,LOMAS DE SARGENTILLO
Guayas,NOBOL
Guayas,GENERAL ANTONIO ELIZALDE
Guayas,ISIDRO AYORA
Imbabura,IBARRA
Imbabura,ANTONIO ANTE
Imbabura,COTACACHI
Imbabura,OTAVALO
Imbabura,PIMAMPIRO
Imbabura,SAN MIGUEL DE URCUQUÍ
Loja,LOJA
Loja,CALVAS
Loja,CATAMAYO
Loja,CELICA
Loja,CHAGUARPAMBA
Loja,ESPÍNDOLA
Loja,GONZANAMÁ
Loja,MACARÁ
Loja,PALTAS
Loja,PUYANGO
Loja,SARAGURO
Loja,SOZORANGA
